Benedick,7|11;5|7;11|10;11|12;3|25;7|17;12|4;10|2;7|15;10|1;3|21;10|22;10|23;10|30;7|18;3|28;4|14;2|12;2|17;2|11;3|11;1|20;5|4
Benedicta,10|8;1|4;8|17;6|27;3|16;5|6
Benevenuta,10|29
Benevenutus,5|5;6|27;3|22
Benigna,6|20;8|18
Benignus,11|24;7|21;7|26;4|3;11|9;11|19;11|20;11|3;11|22;12|13;12|12;11|29;11|2;7|17;6|28;5|1;4|26;3|20;2|27;2|17;2|13;2|12;1|24;11|8;11|1
Benildis,6|15
Benincasa,1|10;5|9;9|4;5|8
Benno,6|16;8|3
Beoanus,4|21
Berachus,2|15
Berardus,11|3
Berarius,10|17
Bercharius,3|26;10|16
Beregisus,10|2
Berengarius,5|26;10|2
Berengarus,5|14
Berikertus,12|16
Berlend,2|3
Berlendis,3|17
Bernadina,9|21
Bernadus,7|15
Bernard,1|22;6|15;5|28;1|14;7|31;12|17;12|19;12|4;11|15;10|14;8|27;8|26;8|25;8|21;8|20;8|19;8|12;7|20;7|15;5|15;5|8;4|25;4|23;4|19;4|14;3|12;1|23
Bernardinus,5|27;5|20;5|17
Bernerius,11|20;10|16
Bernulfus,3|24;7|19
Bertarius,10|22;7|6
Bertellinus,9|9
Bertewinus,9|8
Bertha,3|24;10|11;5|1;7|4;6|25
Berthaldus,6|16
Bertholdus,3|29;10|21;6|20;11|1;7|27
Berthwald,1|22
Bertichamus,4|6
Bertilia,1|3
Bertilla,11|5
Bertilo,3|26
Bertinus,11|2;7|16;9|5;7|17
Bertoara,12|12
Bertramus,5|31
Bertrandus,10|15;10|23;6|6;3|1;10|16
Bertrannus,1|24
Bertuin,11|11
Bertulfus,8|19;3|9;2|5;8|10;11|18
Berwardus,8|16;11|20;11|14;11|4
Beryllus,3|21
Bessus,12|1
Betarius,8|2
Betesus,4|22
Bettonus,2|24;10|27
Bettus,8|14
Bevignatis,5|14
Biaballus,7|12
Bibiana,12|2
Bilfridus,3|6;9|6
Bilhildis,11|27
Bilius,6|23;6|24
Birinus,9|11;12|3;9|4;12|10
Birnstanus,11|4
Blaanus,8|10
Bladulfus,1|2
Blaesilla,1|22
Blancardus,3|10
Blanda,6|10
Blandinus,5|1
Blase,6|22;2|3;11|29;2|10
Bleithmacus,12|6;1|19
Blevileguetus,11|7
Blidramnus,12|22;1|22
Blidulfus,1|2
Blitarius,6|11
Blithmundus,1|3
Boal,4|16
Bobinus,1|31
Bobolinus,5|26
Bodo,9|11
Bodoaldus,6|25
Bodogisilus,12|18
Boenicus,9|28
Boetius,12|7;10|23
Bolonia,10|16
Bona,5|29;9|18;9|12
Bonaventura,6|10
Bonaventure,7|14;3|14
Bonavita,3|1
Bonerus,2|8
Bonfilius,9|27
Boniface,6|12;6|5
Bonifacius,10|4;12|29;10|13;2|19;3|16;9|4;5|14;11|30;11|1;5|25;5|8
Boninus,5|15
Bonitus,6|23;1|15
Bonizella,5|6
Bonmercatus,6|19
Bononius,8|30
Bonoparus,10|29
Bonosa,7|15
Bonosius,5|14;2|17
Bonus,8|1;2|27
Boris,6|9;5|28;4|28;3|1;7|30;7|20;7|23;7|26
Bosa,11|2;3|9
Bosilus,7|8;9|9;1|23
Boso,12|4;3|4
Bosolus,10|15
Bossianus,9|1
Botulfus,3|9
Botulphus,6|17
Botvidus,7|28
Bova,4|24
Bovus,5|21;1|2;5|22
Brachio,2|9;9|15
Bradanus,10|20
Branus,5|18
Braulius,3|18;3|26
Breccanus,5|7
Bregwinus,8|24;8|26
Brendan,5|17;5|16
Brettiva,1|11
Briandus,5|4
Brice,11|14;11|13
Bricsius,7|9
Bridget,7|27;7|20;5|28;10|8;10|7;7|24;9|12;7|23;10|6
Brinolphus,2|6;8|17;8|16
Briocus,5|1;10|18
Brithunus,5|15
Britonius,5|5
Brocardus,9|2
Bronus,6|8
Brothenus,10|18
Brugacius,11|1
Bruno,10|6;6|19;5|27;10|11;7|18;2|8;2|14;10|15;4|14;11|11;8|31;5|17
Budocus,12|9;11|19
Buldus,9|24
Burchardus,10|14;10|13;8|20;10|12;10|11;3|4;10|6
Burginus,11|17
Burgundofara,8|3;5|10;4|3;12|7
Buriena,5|29
Cadfarchius,10|24
Cadocus,1|24;9|21
Cadroe,3|6
Caducanus,6|17
Caesar,4|15
Cagnoaldus,9|4;9|6
Caidocus,10|25;5|30
Calamanda,2|5
Caletricus,10|8
Caletrix,9|4
Calimerus,7|31
Calixtus,10|14;8|27;3|3;4|9;8|11;8|14
Calminius,8|19
Calocerus,2|11;1|16;5|19
Calogerus,6|18
Caluppanus,3|3
Calvus,3|20
Camelianus,3|22;7|28
Camella,9|16
Camilla,3|3
Camillus,7|14;7|18
Candida,10|3;10|22;12|2;8|29;9|4;12|1
Candidus,12|2;10|3;6|7;12|1;3|18;2|3;5|23
Canionus,5|25
Canna,10|25
Cannatus,10|15
Canneria,1|28
Canocus,11|18
Cantia,11|20
Cantianilla,4|13;6|14;5|30;5|31;4|1
Cantianus,4|13;12|18;5|31;5|30;4|1;6|14
Cantius,4|13;5|31;4|1;6|14;5|30
Canute,7|17
Caprasius,10|6;6|1;10|19;10|20
Capuanus,10|25
Caradocus,4|13
Caranus,12|23
Caraunus,5|28
Carissima,9|7
Carissimus,4|19
Carneus,11|15
Carpoforus,8|20;8|7
Carponius,8|27
Carpreus,11|1
Carpus,4|13
Carthacus,5|14
Cartherius,2|1
Carulus,7|21
Carus,4|29
Casaria,5|8;2|4;12|8;12|9
Casilda,4|9
Casimirus,3|4
Cassianus,7|14;8|13;7|16;2|1;12|3;7|23;8|5;8|12;12|1
Cassius,6|29
Castor,2|4;9|28;9|21;10|14;2|13
Castrensis,2|11
Castritianus,12|1
Castula,1|25
Castulus,11|30;3|26;3|27
Castus,10|6;7|1;5|9;5|22;7|5;9|30
Cataldus,3|8;5|10
Catellus,1|19
Catervalus,11|10
Catharine,9|5;3|9;9|14
Catherine,11|25;5|12;2|2;5|4;3|13;12|2;7|5
Cautinus,10|11
Caynicus,10|11
Ceadmannus,2|11
Cechardus,6|16
Cecilia,11|21;11|29;11|22;7|23;8|17
Cecilius,2|1
Cedd,3|2
Cedda,10|26
Celestinus,4|7;10|12;4|6;5|19;4|5;4|8
Celestus,10|14
Celidonius,3|3
Celinia,10|21
Celsinus,10|25
Celsus,11|21;11|6;6|12;4|18;2|23;1|4;8|7;5|10;7|29;7|30;7|27;7|28;4|6
Cendenus,6|16
Censurius,6|10
Centolla,8|13
Centurinus,9|5
Ceolfridus,9|25
Ceolvulfus,1|15
Ceratus,4|24;6|6;3|11
Ceraunus,9|27
Cerbonius,10|10;10|14;10|15;10|17
Cerealis,5|29
Ceronna,11|15
Certesius,5|10
Cesarius,8|27;11|1;11|2;11|3
Cesidius,8|31
Cessator,11|15
Cestus,5|22
Chadus,7|5;12|28
Charity,7|1;5|10
Charlemagne,8|4
Charus,7|26
Chelidonia,10|13;7|13
Chelidonius,3|3
Childemara,6|19;10|25
Chlodesindis,6|30;7|25;7|24
Chlodulfus,6|8
Chlodulphus,12|11
Choca,6|6
Chremes,8|6
Chrestus,7|3
Chrispianus,10|26;10|25
Christantianus,5|13
Christian,10|22;11|22;4|7;4|24
Christiana,9|7;7|26
Christine,6|22;7|24;7|25;2|14;4|8;5|10;7|19
Christopher,6|5;7|10
Chromatius,12|2
Chrysantianus,2|17
Chrysantus,5|15
Chrysogonus,11|14;11|24;2|27;5|31
Chrysolius,2|7
Chrysopolitus,5|12
Cilia,7|15
Cilinia,10|21
Cissa,10|31
Citronius,11|19
Cizius,8|16
Clara,10|2;8|4;8|18
Clare,8|12
Clarentius,4|25
Claritus,5|25
Clarus,1|2;1|1;7|17;8|28;11|5;11|4;10|10;11|8;6|1
Clateus,6|4
Claude,1|8;2|21;10|30;12|3;12|1;6|6;6|1;8|12
Claudianus,3|6;4|5
Clement,1|20;4|19;10|17;3|5;1|23
Clementia,3|21
Clementius,6|5
Cleonicus,7|24
Cleophas,9|25
Cleta,9|24;9|23
Cletus,5|7;7|12;11|28;5|27;4|26;10|12;10|24
Clinius,3|30
Clintancus,8|19
Clodoaldus,9|7
Clotarius,4|7
Clotilde,6|3
Coemanus,11|3
Coenlaidus,5|3
Coledochus,11|5
Coledocus,10|7
Colianus,2|7
Colmannus,10|16;10|30;10|29;10|27;2|18;11|24;2|3
Colmocus,6|6;6|7
Colomannus,10|20;10|13
Columba,12|23;7|20;6|9;5|20;5|1;12|17;12|13;12|31;11|21;10|29;9|17
Columbanus,10|19;11|23;2|15;2|20;3|9;6|9;10|24;11|20;11|18;11|21
Columbianus,9|18
Columbkille,6|9
Cominius,5|1
Comitassa,9|8
Communis,2|8
Compagnus,10|8
Conchenna,3|13
Concord,12|16
Concordia,2|18
Concordius,1|1;2|25
Concordus,6|4;12|10
Condedus,10|21
Condilucus,11|6
Congallus,5|10
Conganus,2|27;10|13
Conhoiarnus,1|15;1|25
Connidrius,11|17
Cono,3|28
Conoganus,10|15
Conon,6|5
Conrad,8|7;11|26;5|2
Consolata,9|6;12|5
Consortia,3|13;6|22;6|10
Constabilis,2|17
Constance,2|18;9|24;9|19
Constanius,9|18
Constant,10|5
Constantianus,12|1
Constantine,5|14;2|25;1|30;2|12;1|29;9|23
Consulis,7|7
Contardus,8|28;4|16
Contextus,1|19
Contus,2|10
Conus,6|3
Convallus,5|18;9|28
Convoio,12|28
Convoion,1|5
Copris,7|9;12|16
